Timestamp_24hr,EpochTime_UTC,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag10
2026-01-06 14:26:20,1767689780,1.9000000000000001,91.9,11.9,21.9,31.9,41.9,51.9,61.9,71.9,81.9
2026-01-06 14:27:20,1767689840,2.0,92.0,12.0,22.0,32.0,42.0,52.0,62.0,72.0,82.0
2026-01-06 14:28:20,1767689900,2.0,92.0,12.0,22.0,32.0,42.0,52.0,62.0,72.0,82.0
2026-01-06 14:29:20,1767689960,2.0,92.0,12.0,22.0,32.0,42.0,52.0,62.0,72.0,82.0
2026-01-06 14:30:21,1767690021,2.0,92.0,12.0,22.0,32.0,42.0,52.0,62.0,72.0,82.0
2026-01-06 14:31:21,1767690081,2.0,92.0,12.0,22.0,32.0,42.0,52.0,62.0,72.0,82.0
2026-01-06 14:32:21,1767690141,2.1,92.1,12.1,22.1,32.1,42.1,52.1,62.1,72.1,82.1
2026-01-06 14:33:21,1767690201,2.1,92.1,12.1,22.1,32.1,42.1,52.1,62.1,72.1,82.1
2026-01-06 14:34:21,1767690261,2.1,92.1,12.1,22.1,32.1,42.1,52.1,62.1,72.1,82.1
2026-01-06 14:35:21,1767690321,2.1,92.1,12.1,22.1,32.1,42.1,52.1,62.1,72.1,82.1
2026-01-06 14:36:21,1767690381,2.1,92.1,12.1,22.1,32.1,42.1,52.1,62.1,72.1,82.1
2026-01-06 14:37:21,1767690441,2.0,92.0,12.0,22.0,32.0,42.0,52.1,62.1,72.1,82.1
2026-01-06 14:38:21,1767690501,2.0,92.0,12.0,22.0,32.0,42.0,52.0,62.0,72.0,82.0
2026-01-06 14:39:21,1767690561,2.0,92.0,12.0,22.0,32.0,42.0,52.0,62.0,72.0,82.0
2026-01-06 14:40:21,1767690621,2.0,92.0,12.0,22.0,32.0,42.0,52.0,62.0,72.0,82.0
2026-01-06 14:54:40,1767691480,4.0,94.0,14.0,24.0,34.0,44.0,54.0,64.0,74.0,84.0
2026-01-06 14:55:40,1767691540,3.9000000000000004,94.0,14.0,24.0,34.0,44.0,54.0,64.0,74.0,84.0
2026-01-06 14:56:40,1767691600,3.9000000000000004,93.9,13.9,23.9,33.9,43.9,53.9,63.9,73.9,83.9
2026-01-06 14:57:40,1767691660,3.9000000000000004,93.9,13.9,23.9,33.9,43.9,53.9,63.9,73.9,83.9
2026-01-06 14:58:40,1767691720,3.9000000000000004,93.9,13.9,23.9,33.9,43.9,53.9,63.9,73.9,83.9
2026-01-06 14:59:40,1767691780,3.9000000000000004,93.9,13.9,23.9,33.9,43.9,53.9,63.9,73.9,83.9
